Single Family Residential,1108 Thornhill,Roanoke,76262,601460,4,3,Fairway Ranch,3621,8276,2017,41,166,55
Single Family Residential,1108 Thornhill Way,Roanoke,76262,601460,4,4,Fairway Ranch,3621,1,2017,133,166,0
Single Family Residential,1109 Broadmoor Way,Roanoke,76262,529990,4,3,Fairway Ranch,3432,1,2017,12,154,660
Single Family Residential,1109 Teton Dr,Burleson,76028,339900,3,2.5,Hidden Vistas Ph 2,2428,8407,2013,71,140,25
Single Family Residential,1109 Thornhill,Roanoke,76262,571063,4,3,Fairway Ranch,3192,8712,2017,75,179,55
Single Family Residential,1109 Thornhill Way,Roanoke,76262,571063,4,3,Fairway Ranch,3458,1,2017,87,165,0
Single Family Residential,111 Brandon Dr,Weatherford,76087,299000,4,2,Du Chane Chataux Add,2680,37897,1981,68,112,0
Single Family Residential,111 Stonehurst Ct,Aledo,76008,575000,4,4.5,River Tree Estates,4338,43647,2005,81,133,50
Single Family Residential,1112 Diablo Pass,Fort Worth,76052,225000,4,2.5,Sendera Ranch,2415,5489,2010,1,93,46
Single Family Residential,1112 Skylark Dr,Burleson,76028,219900,3,2,West Bend South,1904,7013,2005,1,115,17
Single Family Residential,1112 Switchgrass Ln,Crowley,76036,194700,4,2,Lasater Ranch,1988,7187,2006,21,98,17
Single Family Residential,1113 Broadmoor Way,Roanoke,76262,469990,3,3,Fairway Ranch,2239,1,2017,75,210,55
Single Family Residential,1113 Jericho Ct,Keller,76262,750000,5,4,Mount Gilead Manor,3775,46174,1999,1,199,0
Single Family Residential,1113 Venetian St,Keller,76262,665000,6,5.5,Tuscany Keller,5805,21257,2006,258,115,117
Single Family Residential,1114 Eastwick Dr,Roanoke,76262,425000,4,3.5,Briarwyck Ph 2b,4145,10629,2010,34,103,34
Single Family Residential,1115 Greenview Ln,Kennedale,76060,189900,4,2,Rolling Acres Add,2054,12023,2000,4,92,0
Single Family Residential,1116 Thornhill Way,Roanoke,76262,525990,4,4,Fairway Ranch,3596,1,2017,32,146,55
Single Family Residential,11168 Hawks Landing Rd,Fort Worth,76052,199900,3,2,Emerald Park Add,1733,5009,2010,4,115,25
Single Family Residential,1117 Blackbird Ct,Burleson,76028,220000,3,2,Oak Valley Estates,1548,17250,1999,24,142,0
Single Family Residential,1117 Broadmoor,Roanoke,76262,562344,4,3.5,Fairway Ranch,2725,8712,2017,75,206,55
Single Family Residential,1117 Lake Hills Trl,Roanoke,76262,559990,4,4.5,Fairway Ranch,3601,1,2017,75,156,55
Single Family Residential,1118 Eastwick Dr,Roanoke,76262,415000,4,3.5,Briarwyck Ph 2b,4073,8625,2011,4,102,34
Single Family Residential,112 Amory Dr,Benbrook,76126,180000,3,2,Westpark Add,1916,9191,1977,1,94,0
Single Family Residential,112 Pecan St,Roanoke,76262,695000,4,1,Mep & Prr,1902,87120,1967,33,365,0
Single Family Residential,112 Western Breeze,Fort Worth,76126,1050000,6,5.5,Saddle Creek,6300,43560,2017,6,167,54
Single Family Residential,1120 Broadmoor Way,Roanoke,76262,539990,4,4,Fairway Ranch,3596,1,2017,63,150,55
Single Family Residential,1120 Thornhill Way,Roanoke,76262,534990,5,4.5,Fairway Ranch,3553,1,2017,53,151,55
Single Family Residential,11201 Old Weatherford Rd,Aledo,76008,575000,4,4,Cocasa Estates,3777,177681,2013,65,152,0
Single Family Residential,1121 Thornhill Way,Roanoke,76262,543014,4,3.5,Fairway Ranch,2993,1,2017,94,181,0
Single Family Residential,11212 White Settlement Rd,Fort Worth,76108,269000,4,3,Woods_Jp Survey,3133,71961,1964,1,86,0
Single Family Residential,11213 DORADO VISTA Trl,Fort Worth,76052,231834,4,2,Dorado Ranch Ph 6,1768,1,2017,169,131,25
Single Family Residential,1124 Blackburn Dr,Fort Worth,76120,179900,3,2.5,Blake Meadows Add,2102,5489,2005,7,86,18
Single Family Residential,1124 Sandalwood Dr,Fort Worth,76140,140000,3,2,South Oak Grove Estates Add,1268,6490,2002,1,110,0
Single Family Residential,1125 Sherwood Trl,Saginaw,76179,310000,4,2.5,Dominion Add,2905,14810,2016,55,107,0
Single Family Residential,1125 Tuscany Ter,Keller,76262,879000,5,6,Tuscany Keller,5725,20299,2006,45,154,125
Single Family Residential,1126 Mistletoe Dr,Fort Worth,76110,850000,5,4,Fort Worth,4710,33149,1995,6,180,0
Single Family Residential,1127 Mount Gilead Rd,Keller,76262,1399000,5,5.5,Hollyn Three,5636,42210,2017,120,248,0
Single Family Residential,1128 Ivy Charm Way,Arlington,76005,446890,3,3,Viridian,2374,0,2017,1,188,79
Single Family Residential,1128 Thornhill Way,Roanoke,76262,605990,4,4.5,Fairway Ranch,3966,1,2017,87,153,0
Single Family Residential,1131 Vista View Dr,Burleson,76028,245000,4,2.5,West Bend South,2546,7884,2008,60,96,17
Single Family Residential,11328 Dorado Vista Trl,Fort Worth,76052,246255,3,2,Dorado Ranch Ph 6,2030,5489,2017,7,121,25
Multi-Family (2-4 Unit),1133 Rimcrest Dr,Arlington,76017,91000,3,2,Crest The,1386,4879,1987,2,66,0
Single Family Residential,1133 Templemore Dr,Keller,76248,399000,4,3,Flanigan Hill Add,3349,8886,2007,26,119,41
Single Family Residential,1134 Destrehan Dr,Burleson,76028,314000,4,2.5,Oak Vly Estates Ph 15-17 & 18b,3138,7667,2015,74,100,8
Single Family Residential,11349 Golden Ridge Ln,Fort Worth,76052,325000,5,3.5,Dorado Ranch Ph 6,3307,9540,2017,4,98,25
Single Family Residential,1139 Grove Ct,Burleson,76028,219000,4,2,Mistletoe Hill Ph IV,2091,8712,2007,29,105,25
Single Family Residential,11433 Mistys Run,Fort Worth,76244,329900,3,2,High Meadow Estates,1980,56018,1984,38,167,0
Single Family Residential,11501 Northview Dr,Fort Worth,76008,435000,5,4,Lost Creek Add,5231,11413,2001,4,83,8
Single Family Residential,11508 Blue Jack Trl,Fort Worth,76244,265000,3,3,Villages Of Woodland Spgs,2619,5489,2012,11,101,41
Single Family Residential,11508 Crystal Falls Dr,Fort Worth,76244,254900,3,2,Villages Of Woodland Spgs,2144,7841,2003,11,119,41
Single Family Residential,1154 Fox Hunt Trl,Willow Park,76087,329900,3,2.5,Ridge Haven Estates,2292,30013,2008,1,144,0
Single Family Residential,116 San Saba Ave,Benbrook,76126,203000,4,2,Benbrook Estates Addition,1453,12240,1999,10,140,0
Single Family Residential,116 SW Brushy Mound,Burleson,76028,299900,4,3.5,Browns Mountain,3018,16596,1991,47,99,0
Single Family Residential,11609 Kenny Dr,Fort Worth,76244,224000,3,2.5,Villages Of Woodland Spgs,2069,5489,2005,33,108,41
Single Family Residential,1161 Crest Meadow Dr,Fort Worth,76052,374500,5,4,Willow Ridge Estates,3508,6186,2014,3,107,24
Single Family Residential,11625 Alta Vista Rd,Fort Worth,76244,499900,3,2.5,Francisco Cuella Abs 266,2436,7492,1978,44,205,83
Single Family Residential,11633 Northview Dr,Fort Worth,76008,595000,4,4.5,Lost Creek Add,4164,13591,2005,36,143,0
Single Family Residential,11637 Turkey Creek Dr,Fort Worth,76244,224000,3,2,Villages Of Woodland Spgs,1978,6839,2003,76,113,41
Single Family Residential,11641 Maddie Ave,Fort Worth,76244,248888,4,2.5,Villages Of Woodland Spgs,2336,6970,2006,12,107,41
