79907,STANDARD,El Paso,El Paso County,50080
76522,STANDARD,Copperas Cove,Coryell County,35480
75020,STANDARD,Denison,Grayson County,18950
77207,PO BOX,Houston,Harris County,891
77445,STANDARD,Hempstead,Waller County,11320
77878,PO BOX,Snook,Burleson County,970
75856,STANDARD,Pennington,Trinity County,230
75658,PO BOX,Joinerville,Rusk County,271
77012,STANDARD,Houston,Harris County,18120
79104,STANDARD,Amarillo,Potter County,6860
76448,STANDARD,Eastland,Eastland County,4790
75254,STANDARD,Dallas,Dallas County,22700
78747,STANDARD,Austin,Travis County,17270
76162,PO BOX,Fort Worth,Tarrant County,615
77013,STANDARD,Houston,Harris County,16310
75356,PO BOX,Dallas,Dallas County,283
78662,STANDARD,Red Rock,Bastrop County,2110
75166,STANDARD,Lavon,Collin County,4260
76704,STANDARD,Waco,McLennan County,5650
75041,STANDARD,Garland,Dallas County,31040
77086,STANDARD,Houston,Harris County,27820
77622,STANDARD,Hamshire,Jefferson County,1540
77840,STANDARD,College Station,Brazos County,18610
76354,STANDARD,Burkburnett,Wichita County,10290
75219,STANDARD,Dallas,Dallas County,22420
75763,STANDARD,Frankston,Anderson County,4830
79948,PO BOX,El Paso,El Paso County,91
77838,PO BOX,Chriesman,Burleson County,119
79338,PO BOX,Levelland,Hockley County,197
79401,STANDARD,Lubbock,Lubbock County,2730
75355,PO BOX,Dallas,Dallas County,579
78264,STANDARD,San Antonio,Bexar County,11380
75238,STANDARD,Dallas,Dallas County,29700
78722,STANDARD,Austin,Travis County,5220
75692,STANDARD,Waskom,Harrison County,4580
77280,PO BOX,Houston,Harris County,407
75886,UNIQUE,Tennessee Colony,Anderson County,47
76636,STANDARD,Covington,Hill County,1380
77011,STANDARD,Houston,Harris County,16490
79904,STANDARD,El Paso,El Paso County,29190
79935,STANDARD,El Paso,El Paso County,15260
77580,PO BOX,Mont Belvieu,Chambers County,2626
79008,PO BOX,Borger,Hutchinson County,1164
76259,STANDARD,Ponder,Denton County,4590
